company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,company_code,stck_ann,next_day
Tata Power Co. Ltd.,2011-12-30 00:00:00,84.2,2373072360,3,2011,22518.6,22041.8,4581.6,2012-02-11 00:00:00,0,tataPower,,
Coal India Ltd.,2011-12-30 00:00:00,300.85,6316364400,3,2011,713,3325.6,12193.3,2012-02-13 00:00:00,0,coal,,
Indian Oil Corpn. Ltd.,2011-12-30 00:00:00,42.29,2427952482,3,2011,1075122.6,1037178.1,24884.4,2012-02-13 00:00:00,0,IOC,,
Reliance Industries Ltd.,2012-03-30 00:00:00,370.6,3270520088,4,2011,851820,819140,42360,2012-05-04 00:00:00,1,Reliance,,
N T P C Ltd.,2012-03-30 00:00:00,135.58,8245464400,4,2011,161770.7,144492.7,25934.4,2012-05-11 00:00:00,0,NTPC,,
Adani Power Ltd.,2012-03-30 00:00:00,68.3,2180035200,4,2011,9994.5,15446.7,-2901.4,2012-05-14 00:00:00,0,Adani,,
Coal India Ltd.,2012-03-30 00:00:00,343.1,6316364400,4,2011,1546.2,5602.7,12235.2,2012-05-22 00:00:00,0,coal,,
Power Grid Corpn. Of India Ltd.,2012-03-30 00:00:00,80.93,4629725353,4,2011,31556.6,23770.9,10316.9,2012-05-29 00:00:00,0,powerGrid,,
Oil & Natural Gas Corpn. Ltd.,2012-03-30 00:00:00,178.2,8555490120,4,2011,193399.4,151381.1,56443.8,2012-05-30 00:00:00,0,ONGC,,
Indian Oil Corpn. Ltd.,2012-03-30 00:00:00,43.77,2427952482,4,2011,1172811.4,1083655.6,126704.3,2012-06-04 00:00:00,0,IOC,,
Tata Power Co. Ltd.,2012-03-30 00:00:00,97.32,2373072360,4,2011,23746.9,23633.3,1169.7,2012-06-06 00:00:00,0,tataPower,,
G A I L (India) Ltd.,2012-03-30 00:00:00,70.3,1268477400,4,2011,105013.3,108851,4833.4,2012-06-06 00:00:00,0,GAIL,,
Reliance Industries Ltd.,2012-06-29 00:00:00,365.25,3241574179,1,2012,918760,902640,45030,2012-07-20 00:00:00,1,Reliance,,
Power Grid Corpn. Of India Ltd.,2012-06-29 00:00:00,85.09,4629725353,1,2012,28895.8,21101.6,8701.1,2012-07-25 00:00:00,0,powerGrid,,
N T P C Ltd.,2012-06-29 00:00:00,133.12,8245464400,1,2012,160560.7,143492.7,24986.7,2012-07-27 00:00:00,0,NTPC,,
G A I L (India) Ltd.,2012-06-29 00:00:00,65.93,1268477400,1,2012,111223.5,98005.3,11337.8,2012-07-30 00:00:00,0,GAIL,,
Adani Power Ltd.,2012-06-29 00:00:00,49.95,2180035200,1,2012,14638.1,23714.3,-7929.8,2012-08-03 00:00:00,0,Adani,,
Tata Power Co. Ltd.,2012-06-29 00:00:00,101.04,2373072360,1,2012,22841,23173.9,3123,2012-08-09 00:00:00,0,tataPower,,
Indian Oil Corpn. Ltd.,2012-06-29 00:00:00,42.66,2427952482,1,2012,968606.9,1188700,-224509.5,2012-08-09 00:00:00,0,IOC,,
Oil & Natural Gas Corpn. Ltd.,2012-06-29 00:00:00,189.8,8555490120,1,2012,201777.8,150189.7,60777,2012-08-11 00:00:00,0,ONGC,,
Coal India Ltd.,2012-06-29 00:00:00,347.4,6316364400,1,2012,909.5,3313.1,45765.7,2012-08-17 00:00:00,0,coal,,
Reliance Industries Ltd.,2012-09-28 00:00:00,414.41,3235672724,2,2012,903360,888500,54090,2012-10-15 00:00:00,1,Reliance,,
Adani Power Ltd.,2012-09-28 00:00:00,52.85,2180035200,2,2012,14341.1,20862.5,-2253.9,2012-10-19 00:00:00,0,Adani,,
G A I L (India) Ltd.,2012-09-28 00:00:00,71.82,1268477400,2,2012,114081,108843.9,9853.8,2012-10-26 00:00:00,0,GAIL,,
N T P C Ltd.,2012-09-28 00:00:00,139.87,8245464400,2,2012,153276.1,140285.8,31423.5,2012-10-26 00:00:00,0,NTPC,,
Power Grid Corpn. Of India Ltd.,2012-09-28 00:00:00,90.26,4629725353,2,2012,31186.8,22356.2,11258.9,2012-11-01 00:00:00,0,powerGrid,,
Tata Power Co. Ltd.,2012-09-28 00:00:00,103.21,2373072360,2,2012,25170.8,24293.6,2959.8,2012-11-06 00:00:00,0,tataPower,,
Oil & Natural Gas Corpn. Ltd.,2012-09-28 00:00:00,186.93,8555490120,2,2012,198850.9,161238.6,58965.7,2012-11-08 00:00:00,0,ONGC,,
Indian Oil Corpn. Ltd.,2012-09-28 00:00:00,41.76,2427952482,2,2012,1060010.5,1039160.3,96113.5,2012-11-09 00:00:00,0,IOC,,
Coal India Ltd.,2012-09-28 00:00:00,359.45,6316364400,2,2012,492.4,3778.1,12002.2,2012-11-10 00:00:00,0,coal,,
Reliance Industries Ltd.,2012-12-31 00:00:00,415.6,3228496491,3,2012,938860,893540,55020,2013-01-18 00:00:00,1,Reliance,,
N T P C Ltd.,2012-12-31 00:00:00,130.37,8245464400,3,2012,157776.4,139442.8,25967.6,2013-01-21 00:00:00,0,NTPC,,
Adani Power Ltd.,2012-12-31 00:00:00,61.7,2393272110,3,2012,16881.8,23877.9,-5070.9,2013-01-28 00:00:00,0,Adani,,
Oil & Natural Gas Corpn. Ltd.,2012-12-31 00:00:00,178.23,8555490120,3,2012,210932.1,167896.3,55627.2,2013-02-11 00:00:00,0,ONGC,,
Tata Power Co. Ltd.,2012-12-31 00:00:00,106.49,2373072360,3,2012,25491.1,24066.3,2163.8,2013-02-12 00:00:00,0,tataPower,,
Power Grid Corpn. Of India Ltd.,2012-12-31 00:00:00,85.88,4629725353,3,2012,33689.3,23611.6,11290.6,2013-02-12 00:00:00,0,powerGrid,,
Coal India Ltd.,2012-12-31 00:00:00,355.05,6316364400,3,2012,901.3,4615.2,16969.2,2013-02-13 00:00:00,0,coal,,
Indian Oil Corpn. Ltd.,2012-12-31 00:00:00,44.96,2427952482,3,2012,1166997.4,1122592.1,33319.6,2013-02-14 00:00:00,0,IOC,,
G A I L (India) Ltd.,2012-12-31 00:00:00,66.77,1268477400,3,2012,125215.5,113900.7,12848.6,2013-02-14 00:00:00,0,GAIL,,
Reliance Industries Ltd.,2013-03-28 00:00:00,383.2,3228663382,4,2012,841980,821410,55890,2013-04-17 00:00:00,1,Reliance,,
N T P C Ltd.,2013-03-28 00:00:00,118.33,8245464400,4,2012,173667.6,155529.6,43816.1,2013-05-10 00:00:00,0,NTPC,,
Adani Power Ltd.,2013-03-28 00:00:00,40.65,2393272110,4,2012,17468.8,24219.5,-4265.7,2013-05-22 00:00:00,0,Adani,,
Coal India Ltd.,2013-03-28 00:00:00,309.15,6316364400,4,2012,1219.3,4860.8,23206.1,2013-05-27 00:00:00,0,coal,,
Tata Power Co. Ltd.,2013-03-28 00:00:00,93.03,2373072360,4,2012,22142.7,22385.3,2000.3,2013-06-07 00:00:00,0,tataPower,,
G A I L (India) Ltd.,2013-03-28 00:00:00,59.84,1268477400,4,2012,124707,122919.8,6181.8,2013-06-12 00:00:00,0,GAIL,,
Indian Oil Corpn. Ltd.,2013-03-28 00:00:00,46.91,2427952482,4,2012,1275347.7,1157806.6,145128.1,2013-06-13 00:00:00,0,IOC,,
Oil & Natural Gas Corpn. Ltd.,2013-03-28 00:00:00,207.7,8555490120,4,2012,218298.6,203184.9,33887.1,2013-06-14 00:00:00,0,ONGC,,
Power Grid Corpn. Of India Ltd.,2013-03-28 00:00:00,79.46,4629725353,4,2012,33806.6,25228.9,11094.4,2013-06-20 00:00:00,0,powerGrid,,
Reliance Industries Ltd.,2013-06-28 00:00:00,426.86,3229433073,1,2013,876450,855740,53520,2013-07-19 00:00:00,1,Reliance,,
G A I L (India) Ltd.,2013-06-28 00:00:00,58.69,1268477400,1,2013,128998,125272.5,8081.7,2013-07-30 00:00:00,0,GAIL,,
Adani Power Ltd.,2013-06-28 00:00:00,41.45,2871922110,1,2013,21096.8,31479.4,-9187.1,2013-08-02 00:00:00,0,Adani,,
Coal India Ltd.,2013-06-28 00:00:00,302.95,6316364400,1,2013,429.2,3462.2,35506,2013-08-05 00:00:00,0,coal,,
Power Grid Corpn. Of India Ltd.,2013-06-28 00:00:00,83.21,4629725353,1,2013,35599.6,25997.3,10403.4,2013-08-06 00:00:00,0,powerGrid,,
N T P C Ltd.,2013-06-28 00:00:00,119.75,8245464400,1,2013,154933.5,138639.8,25270.2,2013-08-08 00:00:00,0,NTPC,,
Tata Power Co. Ltd.,2013-06-28 00:00:00,83.04,2373072360,1,2013,26075.1,24961,3570,2013-08-08 00:00:00,0,tataPower,,
Oil & Natural Gas Corpn. Ltd.,2013-06-28 00:00:00,220.07,8555490120,1,2013,193089.3,165257.6,40159.8,2013-08-14 00:00:00,0,ONGC,,
Indian Oil Corpn. Ltd.,2013-06-28 00:00:00,39.09,2427952482,1,2013,1104666.1,1100973.9,-30932.3,2013-08-20 00:00:00,0,IOC,,
Reliance Industries Ltd.,2013-09-30 00:00:00,407.3,3230645601,2,2013,1037580,1005130,54900,2013-10-15 00:00:00,1,Reliance,,
Adani Power Ltd.,2013-09-30 00:00:00,32.25,2871922110,2,2013,20581.6,31202.7,-9097.5,2013-10-28 00:00:00,0,Adani,,
N T P C Ltd.,2013-09-30 00:00:00,123.5,8245464400,2,2013,162979,145665.1,24929,2013-11-05 00:00:00,0,NTPC,,
